row_index,loan_amount,income,combined_loan_to_value_ratio,interest_rate,debt_to_income_ratio,rate_spread,loan_term,total_loan_costs,origination_charges,tract_population,tract_minority_population_percent,tract_to_msa_income_percentage,tract_median_age_of_housing_units,applicant_age,stat_score,if_score,if_flag,dbscan_noise,tier,typology
27779,455000,,,6.25,,,360.0,3528.35,250.0,14020,28.0,121.0,6,,2,-0.0053,True,1.0,High Confidence,Unclassified / Manual Review
36560,705000,274.0,80.0,4.99,42.0,-0.027,360.0,6943.25,1350.0,12663,27.74,160.0,12,49.5,2,-0.0051,True,1.0,High Confidence,Unclassified / Manual Review
94296,305000,245.0,49.057,2.875,47.0,-0.206,360.0,4098.01,1733.46,10717,61.32,210.0,9,39.5,2,-0.002,True,1.0,High Confidence,Unclassified / Manual Review
84841,1105000,327.0,,,,,360.0,,,11588,42.55,187.0,14,49.5,3,-0.0004,True,1.0,High Confidence,Unclassified / Manual Review
79279,705000,69.0,100.0,3.75,65.0,-0.976,360.0,31026.75,10150.8,3513,90.21,60.0,51,39.5,2,-0.0002,True,1.0,High Confidence,Unclassified / Manual Review
43187,5405000,4657.0,60.0,2.99,15.0,-3.57,360.0,,,1739,35.14,311.0,58,69.5,4,-0.1801,True,,Confirmed (2 metode),Rare Legitimate
17095,3255000,1750.0,65.0,2.95,15.0,0.077,360.0,4974.15,1155.0,10054,24.86,236.0,0,39.5,5,-0.1758,True,,Confirmed (2 metode),Unclassified / Manual Review
6191,55000,1848.0,14.49,3.25,15.0,0.48,72.0,1439.08,775.0,0,0.0,0.0,0,29.5,4,-0.1689,True,,Confirmed (2 metode),Unclassified / Manual Review
36239,4805000,5146.0,60.0,2.55,15.0,-1.058,360.0,14111.7,1155.0,4986,39.93,336.0,24,59.5,3,-0.1637,True,,Confirmed (2 metode),Rare Legitimate
58046,3745000,6420.0,76.5,2.25,25.0,0.218,360.0,32703.65,21275.5,7275,35.99,292.0,62,49.5,5,-0.1597,True,,Confirmed (2 metode),Unclassified / Manual Review
75566,3005000,2984.0,41.096,2.375,15.0,-0.779,360.0,10723.18,2585.0,6212,38.06,233.0,67,39.5,3,-0.1572,True,,Confirmed (2 metode),Rare Legitimate
84814,1105000,,1.3,8.99,,,12.0,,,0,0.0,0.0,0,,5,-0.1556,True,,Confirmed (2 metode),Unclassified / Manual Review
68329,2975000,2641.0,70.0,2.25,15.0,-0.236,360.0,23211.41,14803.75,5133,11.12,270.0,76,49.5,5,-0.1554,True,,Confirmed (2 metode),Unclassified / Manual Review
98244,585000,1450.0,42.39,,65.0,,360.0,,,15755,67.06,168.0,11,39.5,3,-0.1524,True,,Confirmed (2 metode),Rare Legitimate
14226,3145000,3255.0,89.99,2.875,15.0,-1.999,360.0,,,0,0.0,0.0,0,39.5,4,-0.1513,True,,Confirmed (2 metode),Unclassified / Manual Review
43157,725000,850.0,,9.0,,,12.0,,,0,0.0,0.0,0,29.5,4,-0.1501,True,,Confirmed (2 metode),Unclassified / Manual Review
65074,1875000,2363.0,44.118,2.25,15.0,-0.352,360.0,7402.1,1550.0,3221,22.85,292.0,55,49.5,3,-0.1488,True,,Confirmed (2 metode),Rare Legitimate
57781,715000,9742.0,75.0,4.125,15.0,,,,,0,0.0,0.0,0,80.0,2,-0.1471,True,,Confirmed (2 metode),Unclassified / Manual Review
43851,4905000,3178.0,70.0,3.3,25.0,,360.0,,,8526,26.77,251.0,0,49.5,3,-0.1429,True,,Confirmed (2 metode),Unclassified / Manual Review
70929,24805000,,0.8,0.04111,,,36.0,,,3366,26.41,189.0,77,,4,-0.1414,True,,Confirmed (2 metode),Unclassified / Manual Review
55041,505000,0.0,31.25,,65.0,,360.0,,,22780,40.33,277.0,12,39.5,3,-0.14,True,,Confirmed (2 metode),Data Error
77613,205000,,7.98,13.99,,,12.0,,,0,0.0,0.0,0,,4,-0.1398,True,,Confirmed (2 metode),Unclassified / Manual Review
90211,125000,,0.68,10.99,,,12.0,,,0,0.0,0.0,0,,4,-0.1398,True,,Confirmed (2 metode),Unclassified / Manual Review
21993,165000,,0.96,12.99,,,12.0,,,0,0.0,0.0,0,,4,-0.1396,True,,Confirmed (2 metode),Unclassified / Manual Review
87892,205000,,1.13,10.49,,,12.0,,,0,0.0,0.0,0,,4,-0.1396,True,,Confirmed (2 metode),Unclassified / Manual Review
3120,165000,,1.31,10.99,,,12.0,,,0,0.0,0.0,0,,4,-0.1394,True,,Confirmed (2 metode),Unclassified / Manual Review
47877,165000,,0.88,10.59,,,12.0,,,0,0.0,0.0,0,,4,-0.1394,True,,Confirmed (2 metode),Unclassified / Manual Review
57427,225000,,0.98,9.84,,,12.0,,,0,0.0,0.0,0,,4,-0.1389,True,,Confirmed (2 metode),Unclassified / Manual Review
44580,12165000,14994.0,60.0,4.15,15.0,-0.47,360.0,24495.11,0.0,4596,13.12,242.0,44,29.5,4,-0.1387,True,,Confirmed (2 metode),Rare Legitimate
20719,4925000,2780.0,60.0,2.4,15.0,-0.427,360.0,18605.7,1155.0,4672,25.26,198.0,0,39.5,3,-0.1386,True,,Confirmed (2 metode),Rare Legitimate
14869,165000,,1.43,9.99,,,12.0,,,0,0.0,0.0,0,,4,-0.1379,True,,Confirmed (2 metode),Unclassified / Manual Review
71030,3405000,1166.0,52.72,,49.0,,360.0,,,0,0.0,0.0,0,59.5,3,-0.1379,True,,Confirmed (2 metode),Rare Legitimate
80881,145000,,1.31,9.99,,,12.0,,,0,0.0,0.0,0,,4,-0.1379,True,,Confirmed (2 metode),Unclassified / Manual Review
88305,145000,,0.54,9.99,,,12.0,,,0,0.0,0.0,0,,4,-0.1379,True,,Confirmed (2 metode),Unclassified / Manual Review
14829,105000,,1.53,9.6,,,12.0,,,0,0.0,0.0,0,,4,-0.1374,True,,Confirmed (2 metode),Unclassified / Manual Review
8446,1705000,2163.0,59.0,4.875,15.0,-0.593,360.0,,,2202,44.78,283.0,19,59.5,3,-0.1371,True,,Confirmed (2 metode),Rare Legitimate
57290,35000,85.0,47.675,7.75,44.0,0.62,480.0,,,17666,21.56,168.0,6,80.0,2,-0.1362,True,,Confirmed (2 metode),Unclassified / Manual Review
66942,585000,,,10.5,,,12.0,,,0,0.0,0.0,0,80.0,3,-0.1359,True,,Confirmed (2 metode),Unclassified / Manual Review
83105,55000,24.0,58.997,,65.0,,60.0,,,0,0.0,0.0,0,80.0,2,-0.1354,True,,Confirmed (2 metode),Unclassified / Manual Review
66499,15765000,,0.8,0.04795,,,36.0,,,6182,77.95,59.0,32,,4,-0.1351,True,,Confirmed (2 metode),Unclassified / Manual Review
40029,655000,665.0,80.0,9.25,25.0,2.409,360.0,24620.6,17449.99,24651,51.39,190.0,6,39.5,7,-0.1338,True,,Confirmed (2 metode),Unclassified / Manual Review
86493,345000,,0.84,8.99,,,12.0,,,0,0.0,0.0,0,,4,-0.1335,True,,Confirmed (2 metode),Unclassified / Manual Review
22467,1605000,480.0,43.243,,25.0,,360.0,,,0,0.0,0.0,0,80.0,3,-0.1332,True,,Confirmed (2 metode),Rare Legitimate
45643,125000,,1.06,8.99,,,12.0,,,0,0.0,0.0,0,,4,-0.1327,True,,Confirmed (2 metode),Unclassified / Manual Review
29580,85000,109.0,55.676,8.24,42.0,3.79,120.0,0.0,0.0,20530,58.19,211.0,8,69.5,4,-0.1326,True,,Confirmed (2 metode),Unclassified / Manual Review
74830,245000,317.0,44.058,2.5,15.0,-0.341,180.0,2530.38,0.0,24651,51.39,190.0,6,49.5,3,-0.1325,True,,Confirmed (2 metode),Unclassified / Manual Review
52692,145000,,0.43,8.99,,,12.0,,,0,0.0,0.0,0,,4,-0.1323,True,,Confirmed (2 metode),Unclassified / Manual Review
42335,4485000,2423.0,65.0,2.125,15.0,-1.029,360.0,8047.15,2625.0,2735,33.53,174.0,62,39.5,2,-0.1322,True,,Confirmed (2 metode),Unclassified / Manual Review
22585,125000,,0.96,8.6,,,12.0,,,0,0.0,0.0,0,,3,-0.1318,True,,Confirmed (2 metode),Unclassified / Manual Review
40718,1755000,485.0,25.36,2.0,65.0,-0.326,360.0,6167.88,1525.0,3111,15.17,311.0,74,59.5,3,-0.1305,True,,Confirmed (2 metode),Rare Legitimate
65398,20005000,1000.0,,,,,360.0,,,7308,36.43,292.0,58,80.0,3,-0.1303,True,,Confirmed (2 metode),Unclassified / Manual Review
52926,445000,30.0,63.7807,9.75,15.0,,12.0,,,0,0.0,0.0,0,39.5,3,-0.1298,True,,Confirmed (2 metode),Unclassified / Manual Review
53409,115000,,1.07,8.1,,,12.0,,,0,0.0,0.0,0,,3,-0.1296,True,,Confirmed (2 metode),Unclassified / Manual Review
21795,3535000,4018.0,58.9,1.875,15.0,-0.576,360.0,12383.27,2170.0,2192,16.56,114.0,33,39.5,2,-0.1294,True,,Confirmed (2 metode),Rare Legitimate
76020,1365000,,59.35,8.5,,,18.0,,,0,0.0,0.0,0,,3,-0.1293,True,,Confirmed (2 metode),Unclassified / Manual Review
33285,2005000,2903.0,16.67,2.5,25.0,-0.886,360.0,15277.5,1330.0,1497,10.09,194.0,37,59.5,2,-0.1289,True,,Confirmed (2 metode),Rare Legitimate
39055,4005000,863.0,65.0,2.625,41.0,,360.0,,,0,0.0,0.0,0,39.5,3,-0.1286,True,,Confirmed (2 metode),Unclassified / Manual Review
25379,105000,533.0,26.84,5.95,,,60.0,,,0,0.0,0.0,0,59.5,3,-0.1285,True,,Confirmed (2 metode),Unclassified / Manual Review
46787,4095000,1184.0,,,,,360.0,,,13109,23.97,276.0,59,29.5,4,-0.1283,True,,Confirmed (2 metode),Unclassified / Manual Review
31198,1505000,2100.0,44.379,2.625,15.0,-0.296,360.0,,,6167,22.07,206.0,57,29.5,3,-0.1281,True,,Confirmed (2 metode),Rare Legitimate
18235,5005000,2241.0,54.05,2.45,25.0,-0.928,360.0,8214.9,1155.0,6846,23.05,174.0,52,59.5,2,-0.1278,True,,Confirmed (2 metode),Rare Legitimate
39032,35000,257.0,50.52,,25.0,,180.0,,,22780,40.33,277.0,12,69.5,3,-0.1278,True,,Confirmed (2 metode),Unclassified / Manual Review
15767,5255000,3827.0,71.918,3.0,25.0,-1.261,360.0,16714.5,7652.5,5007,34.13,260.0,56,29.5,3,-0.1277,True,,Confirmed (2 metode),Unclassified / Manual Review
43659,5000,30.0,53.049,,65.0,,60.0,,,0,0.0,0.0,0,69.5,2,-0.1273,True,,Confirmed (2 metode),Unclassified / Manual Review
75991,285000,1291.0,93.33,4.5,15.0,0.418,180.0,,,0,0.0,0.0,0,29.5,2,-0.1273,True,,Confirmed (2 metode),Unclassified / Manual Review
22989,3375000,5683.0,43.831,3.125,15.0,0.183,360.0,16532.35,995.0,3396,11.75,173.0,25,69.5,2,-0.1272,True,,Confirmed (2 metode),Rare Legitimate
87331,4105000,4019.0,57.746,2.75,15.0,-0.348,360.0,8342.65,500.0,1222,25.94,120.0,28,49.5,2,-0.1272,True,,Confirmed (2 metode),Rare Legitimate
33612,845000,1200.0,68.57,6.75,15.0,3.192,360.0,7546.5,1295.0,18071,43.76,157.0,6,49.5,5,-0.127,True,,Confirmed (2 metode),Unclassified / Manual Review
57713,6435000,2025.0,60.0,3.85,38.0,-0.48,360.0,44734.53,28070.0,4248,44.37,412.0,65,39.5,5,-0.1269,True,,Confirmed (2 metode),Rare Legitimate
48894,3255000,635.0,48.789,2.75,37.0,-0.86,480.0,,,2774,17.95,305.0,52,69.5,3,-0.1267,True,,Confirmed (2 metode),Rare Legitimate
3836,2525000,,74.12,7.75,,,12.0,,,0,0.0,0.0,0,,3,-0.1264,True,,Confirmed (2 metode),Unclassified / Manual Review
63008,3825000,1557.0,89.99,3.375,25.0,-1.972,360.0,3530.65,500.0,3092,28.91,292.0,68,39.5,4,-0.1262,True,,Confirmed (2 metode),Unclassified / Manual Review
59269,1255000,1227.0,100.0,2.95,25.0,0.11,180.0,8108.8,800.0,5273,23.29,261.0,76,69.5,3,-0.1258,True,,Confirmed (2 metode),Unclassified / Manual Review
83411,1175000,906.0,49.51,3.55,25.0,-0.429,360.0,7073.37,1155.0,11616,90.14,29.0,59,59.5,3,-0.1258,True,,Confirmed (2 metode),Rare Legitimate
99552,5005000,379.0,25.641,3.25,65.0,-0.968,360.0,49770.0,795.0,6462,24.03,225.0,58,80.0,4,-0.1253,True,,Confirmed (2 metode),Rare Legitimate
30648,2005000,2065.0,45.2,4.35,15.0,-1.009,360.0,5158.2,1240.0,3537,17.47,311.0,60,49.5,3,-0.1244,True,,Confirmed (2 metode),Rare Legitimate
82603,15000,25.0,12.931,8.0,25.0,3.73,120.0,342.0,0.0,1778,91.23,131.0,77,80.0,2,-0.1238,True,,Confirmed (2 metode),Unclassified / Manual Review
95401,45000,60.0,8.0,,65.0,,180.0,,,0,0.0,0.0,0,59.5,2,-0.1237,True,,Confirmed (2 metode),Unclassified / Manual Review
4460,1755000,2106.0,43.805,2.375,15.0,-2.805,360.0,0.0,0.0,1243,3.46,156.0,35,69.5,3,-0.1236,True,,Confirmed (2 metode),Rare Legitimate
15984,1755000,1657.0,35.0,3.75,38.0,-0.05,360.0,10907.0,995.0,5080,24.7,292.0,0,39.5,3,-0.1236,True,,Confirmed (2 metode),Rare Legitimate
69912,3755000,4164.0,34.488,5.5,15.0,0.942,360.0,29283.35,19345.0,1750,7.89,134.0,39,49.5,4,-0.1235,True,,Confirmed (2 metode),Rare Legitimate
30036,5000,52.0,4.286,0.0,15.0,-2.69,60.0,,0.0,2521,40.38,102.0,0,20.0,4,-0.1231,True,,Confirmed (2 metode),Data Error
41066,645000,581.0,,3.25,,,180.0,7934.19,1395.0,17341,87.02,150.0,6,59.5,3,-0.1225,True,,Confirmed (2 metode),Unclassified / Manual Review
49942,3635000,2141.0,75.0,2.8,15.0,-0.063,360.0,15304.9,1312.5,4391,24.48,260.0,18,39.5,3,-0.1221,True,,Confirmed (2 metode),Unclassified / Manual Review
89367,1065000,1171.0,80.0,3.24,15.0,-0.94,360.0,,,6750,20.98,287.0,42,69.5,3,-0.1219,True,,Confirmed (2 metode),Unclassified / Manual Review
62605,2555000,18514.0,85.0,2.25,15.0,-0.523,360.0,10005.95,0.0,1275,7.06,131.0,58,49.5,2,-0.1213,True,,Confirmed (2 metode),Unclassified / Manual Review
72917,4405000,41.0,999.999,,65.0,,480.0,,,5048,41.64,55.0,0,20.0,2,-0.1209,True,,Confirmed (2 metode),Data Error
91093,4205000,3190.0,60.0,3.75,15.0,-0.183,360.0,,,4794,28.6,192.0,62,39.5,2,-0.1206,True,,Confirmed (2 metode),Rare Legitimate
