antecedents,consequents,support,confidence,lift
"purchaser_type_0, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.016220973258395503,0.9884216940889701,54.66606132673257
"construction_method_1, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.016841010460627637,0.988262910798122,54.65727959200631
"debt_to_income_ratio_exempt, derived_ethnicity_not hispanic or latino",reverse_mortgage_1111,0.012280736844210653,0.9903225806451613,54.65028483942178
"lien_status_1, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.014880892853571213,0.9880478087649401,54.64538306949194
"debt_to_income_ratio_exempt, purchaser_type_0",reverse_mortgage_1111,0.016220973258395503,0.9902319902319902,54.645285668464474
"derived_loan_product_type_conventional:first lien, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.014780886853211193,0.9879679144385027,54.64096440064361
"debt_to_income_ratio_exempt, loan_purpose_2",reverse_mortgage_1111,0.00199011940716443,0.9900497512437813,54.6352289325997
"derived_dwelling_category_single family (1-4 units):site-built, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.016150969058143488,0.9877675840978593,54.62988484750074
"debt_to_income_ratio_exempt, preapproval_2",reverse_mortgage_1111,0.017371042262535753,0.9897435897435898,54.61833361634687
"loan_size_Medium, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0039002340140408425,0.9873417721518988,54.60633471490983
"derived_ethnicity_not hispanic or latino, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.012280736844210653,0.9871382636655949,54.59507938992118
"applicant_age_55-64, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.0027701662099725985,0.9892857142857143,54.593066067486596
"debt_to_income_ratio_exempt, derived_sex_female",reverse_mortgage_1111,0.00273016380982859,0.9891304347826088,54.58449707265573
debt_to_income_ratio_exempt,reverse_mortgage_1111,0.017881072864371864,0.9889380530973453,54.573880618882974
"debt_to_income_ratio_exempt, interest_rate_bin_missing",reverse_mortgage_1111,0.017881072864371864,0.9889380530973453,54.573880618882974
"combined_loan_to_value_ratio_bin_missing, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.017881072864371864,0.9889380530973453,54.573880618882974
reverse_mortgage_1111,debt_to_income_ratio_exempt,0.017881072864371864,0.9867549668874173,54.57388061888297
"debt_to_income_ratio_exempt, loan_type_1",reverse_mortgage_1111,0.01778106686401184,0.9888765294771968,54.57048547932827
"loan_type_1, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.01778106686401184,0.9866814650388456,54.569815495074295
"debt_to_income_ratio_exempt, loan_size_Large",reverse_mortgage_1111,0.0043402604156249375,0.988610478359909,54.55580362755008
"preapproval_2, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.017371042262535753,0.9863713798977854,54.55266579728936
